@relation 'student-grades-data'
@attribute 'Q01' real
@attribute 'Q02' real
@attribute 'Q03' real
@attribute 'Q04' real
@attribute 'Q05' real
@attribute 'Q06' real
@attribute 'Q07' real
@attribute 'Q08' real
@attribute 'A01' real
@attribute 'A02' real
@attribute 'A03' real
@attribute 'A04' real
@attribute 'A05' real
@attribute 'M.E' real
@attribute 'F.E' real
@attribute class {A,B,C,D}
@data
100,100,100,80,80,100,10,90,80,93.33,96,100.00,100,72.00,90.00,B
100,100,100,0,70,100,10,72.5,100,97.78,94,100.00,100,80.33,90.38,B
90,100,100,80,80,100,10,86.67,100,93.33,90,0.00,100,91.50,88.00,B
100,100,100,70,70,100,10,90,100,93.33,75,100.00,100,75.67,86.75,B
100,100,100,50,60,100,10,76.67,100,100.00,96,100.00,95,70.17,93.00,B
90,100,88,90,100,100,10,80,100,97.78,89,83.33,95,74.17,86.00,B
100,100,100,100,70,100,10,80,100,80.00,100,100.00,100,67.17,88.50,B
100,100,100,90,70,100,10,80,100,100.00,100,100.00,100,69.67,83.13,B
100,100,100,100,80,100,10,90,100,86.67,100,100.00,85,72.67,82.00,B
97.5,100,100,90,100,100,10,76.67,100,77.78,78,91.11,100,86.17,73.00,B
90,100,100,80,70,100,10,90,100,60.00,88,97.78,100,68.83,94.00,B
100,100,100,90,70,100,10,0,100,55.56,70,100.00,90,89.17,88.00,B
100,100,100,?,70,98,10,90,100,84.44,92,100.00,100,74.50,78.50,B
90,100,96.67,0,100,100,10,86.67,100,88.89,100,100.00,100,73.83,85.50,B
100,100,100,90,70,100,10,90,100,86.67,98,100.00,100,70.83,79.00,B
100,100,100,70,80,98,10,90,100,60.00,88,100.00,100,69.33,89.00,B
100,100,100,0,90,100,10,66.67,100,53.33,80,100.00,100,80.00,90.88,B
90,100,100,0,70,100,10,87.5,100,88.89,98,100.00,100,77.33,83.50,B
100,100,100,100,90,100,0,74.17,70,68.89,82,100.00,100,79.33,92.50,B
100,100,100,70,80,100,0,100,100,100.00,88,100.00,100,65.00,94.50,B
100,100,100,100,70,100,10,96.67,100,100.00,100,100.00,100,65.17,77.00,B
100,100,100,70,80,100,10,96.67,100,100.00,88,100.00,100,60.00,87.00,B
100,100,100,100,100,98,10,96.67,100,55.56,70,100.00,85,68.17,88.25,B
100,100,100,70,90,98,10,96.67,100,61.11,88,100.00,100,76.17,77.00,B
100,90,100,90,80,98,10,100,100,74.44,62,100.00,90,70.33,86.00,B
100,100,100,90,80,100,10,56.67,100,100.00,100,100.00,100,80.50,65.00,B
100,100,100,90,80,100,10,86.67,100,93.33,90,0.00,100,81.17,83.50,B
100,0,100,80,70,100,10,79.17,100,86.67,94,100.00,100,76.83,84.00,B
100,100,100,70,70,100,10,76.67,100,93.33,88,100.00,100,72.67,76.00,B
100,100,100,80,60,98,10,83.33,100,100.00,100,95.56,100,61.33,83.00,B
100,100,100,70,60,98,10,76.67,95,86.67,88,0.00,100,82.17,89.00,B
100,100,100,90,90,100,0,90,100,100.00,96,100.00,90,74.67,76.00,B
100,100,96.67,80,80,100,10,100,100,100.00,100,100.00,100,54.57,82.00,B
90,100,100,100,70,100,10,82.5,80,93.33,96,100.00,95,70.00,75.00,B
80,100,100,80,70,100,10,76.67,100,86.67,98,100.00,100,70.33,74.88,B
90,100,100,70,90,100,10,86.67,100,66.67,100,100.00,95,62.33,83.63,B
100,100,100,90,80,100,10,76.67,100,66.67,88,100.00,90,69.00,79.00,B
100,100,100,90,70,98,10,70,100,93.33,70,0.00,100,79.67,85.50,B
100,100,100,70,70,100,10,90,100,97.78,82,100.00,100,64.17,77.00,B
100,100,100,0,90,100,10,77.5,100,0.00,60,87.78,95,90.33,85.88,B
100,0,100,90,70,100,10,70,100,86.67,94,100.00,100,74.33,78.63,B
90,100,100,70,90,98,10,90,100,97.78,100,100.00,100,68.17,66.75,B
100,100,100,100,60,98,10,90,85,97.78,100,0.00,100,73.00,83.50,B
100,100,100,90,70,98,10,80,100,80.00,100,100.00,95,64.33,74.00,B
90,100,100,?,90,100,10,96.67,100,80.00,82,100.00,90,61.33,77.13,B
100,100,100,100,80,100,0,100,100,95.56,94,0.00,100,76.50,85.50,B
100,100,100,80,80,100,10,90,100,61.11,88,100.00,95,70.17,70.75,B
100,100,100,80,80,100,10,80,100,93.33,70,0.00,100,71.17,85.88,B
90,100,100,90,80,100,10,65,100,91.11,90,100.00,100,60.00,75.00,B
100,100,100,80,80,100,10,86.67,100,93.33,88,0.00,100,66.67,84.50,B
100,100,100,100,90,100,0,81.67,50,78.89,88,88.89,100,75.67,79.63,B
100,100,100,70,80,100,10,86.67,100,64.44,94,100.00,90,63.50,74.38,B
100,100,100,70,70,100,8,85,100,62.22,74,100.00,100,73.50,70.38,B
100,100,100,90,80,100,10,80,100,77.78,92,0.00,100,73.00,78.00,B
90,0,100,80,70,100,10,76.67,100,100.00,88,100.00,100,61.33,82.50,B
100,100,90,80,70,100,10,80,100,97.78,88,100.00,100,54.00,77.13,B
90,100,100,80,70,98,10,90,100,66.67,100,100.00,100,63.33,70.00,B
100,100,83.33,80,100,98,10,76.67,100,100.00,100,100.00,90,64.17,61.88,C
100,100,100,70,70,100,10,85,100,62.22,74,93.33,100,69.50,69.00,C
80,0,90,70,70,100,10,75,100,100.00,88,100.00,100,62.67,81.50,C
100,0,100,60,80,100,10,86.67,100,97.78,94,98.89,100,64.17,74.00,C
100,100,100,70,80,100,10,90,50,97.78,100,0.00,100,67.67,84.50,C
100,100,100,70,100,100,10,90,100,93.33,94,100.00,100,57.50,63.50,C
90,100,100,90,70,100,10,90,95,86.67,88,0.00,100,64.00,83.00,C
90,100,96.67,0,50,100,10,96.67,100,91.11,94,100.00,100,52.17,84.50,C
90,100,100,80,70,100,10,75,100,100.00,100,100.00,100,47.50,75.00,C
100,100,100,80,70,100,10,96.67,100,93.33,100,100.00,100,57.33,62.50,C
100,100,100,80,70,100,0,100,100,95.56,94,100.00,100,64.50,67.88,C
100,100,100,80,80,100,10,90,100,74.44,62,100.00,100,59.50,71.00,C
70,100,100,50,70,100,10,90,100,80.00,80,86.67,100,59.50,77.50,C
100,0,100,70,70,100,10,90,100,77.78,100,100.00,100,58.17,77.25,C
90,0,100,70,70,100,10,90,100,77.78,100,100.00,100,62.83,73.38,C
0,100,100,70,70,100,10,80,100,100.00,88,100.00,70,71.00,68.00,C
100,0,100,90,70,98,10,90,100,80.00,92,100.00,100,44.67,80.00,C
100,100,100,100,70,100,10,90,100,93.33,88,0.00,100,48.50,80.00,C
0,100,90,70,70,100,10,90,100,80.00,88,100.00,85,60.00,69.50,C
100,0,96.67,70,70,100,10,96.67,100,88.89,82,100.00,100,43.50,78.50,C
100,100,90,100,70,100,10,86.67,100,100.00,100,100.00,100,38.67,62.25,C
100,100,100,80,60,100,10,80,100,97.78,88,100.00,100,51.67,55.00,C
100,100,100,80,63.33,100,10,80,100,80.00,100,100.00,85,43.33,67.00,C
100,100,100,90,70,98,10,90,100,100.00,82,95.56,95,56.50,48.63,C
90,100,100,70,70,100,10,76.67,100,100.00,82,100.00,100,47.17,60.88,C
100,100,100,100,60,100,10,100,100,77.78,92,0.00,95,58.00,66.25,C
100,100,90,50,50,100,10,96.67,100,100.00,100,100.00,20,52.17,66.50,C
100,100,93.33,80,70,100,0,100,100,66.67,100,100.00,100,53.83,59.63,C
100,0,90,50,70,100,10,86.67,100,100.00,88,100.00,90,56.33,59.38,C
100,100,100,70,70,100,10,90,100,97.78,82,0.00,100,45.67,73.00,C
100,100,100,60,60,100,10,90,100,100.00,88,0.00,90,53.00,68.50,C
100,0,100,80,50,100,10,86.67,100,100.00,88,0.00,100,61.00,69.00,C
90,100,96.67,0,80,100,0,79.17,100,62.22,66,66.67,100,68.17,66.00,C
80,100,96.67,50,73.33,100,10,80,100,80.00,80,100.00,100,53.50,46.50,C
100,100,100,80,70,100,10,90,100,93.33,88,0.00,90,42.17,67.25,C
90,0,86.67,0,70,100,0,96.67,100,71.11,100,100.00,100,62.50,59.00,C
100,100,100,80,70,100,10,90,100,100.00,100,100.00,95,60.50,0.00,D
100,?,100,70,70,98,10,80,100,80.00,92,100.00,100,66.17,0.00,D
100,100,100,80,80,98,10,76.67,100,100.00,100,100.00,100,55.50,0.00,D
100,100,100,70,50,100,10,90,100,66.67,100,100.00,100,62.00,0.00,D
100,100,100,80,70,100,10,90,100,100.00,100,100.00,95,60.50,0.00,D
100,?,100,70,70,98,10,80,100,80.00,92,100.00,100,66.17,0.00,D
100,90,100,80,80,98,10,76.67,90,100.00,100,100.00,100,55.50,0.00,D
100,80,100,70,50,100,10,90,80,66.67,100,100.00,100,62.00,0.00,D
100,70,100,80,70,100,10,90,70,100.00,100,100.00,95,60.50,0.00,D
100,?,100,70,70,98,10,80,100,80.00,92,100.00,100,66.17,0.00,D
100,100,100,80,80,98,10,76.67,100,100.00,100,100.00,100,55.50,0.00,D
100,100,100,70,50,100,10,90,95,66.67,100,100.00,100,62.00,0.00,D
100,100,100,80,70,100,10,90,100,100.00,100,100.00,95,60.50,0.00,D
100,?,100,70,70,98,10,80,100,80.00,92,100.00,100,66.17,0.00,D
100,100,100,80,80,98,10,76.67,100,100.00,100,80.00,100,55.50,0.00,D
100,100,100,70,50,100,10,90,100,66.67,100,80.00,100,62.00,0.00,D
100,100,100,80,70,100,10,90,90,100.00,100,80.00,95,60.50,0.00,D
100,?,100,70,70,98,10,80,90,80.00,92,80.00,100,66.17,0.00,D
100,100,100,80,80,98,10,76.67,90,100.00,100,80.00,100,55.50,0.00,D
100,100,100,70,50,100,10,90,90,66.67,100,80.00,100,62.00,0.00,D
100,100,100,80,70,100,10,90,90,100.00,100,100.00,95,60.50,0.00,D
100,?,100,70,70,98,10,80,100,80.00,92,100.00,100,66.17,0.00,D
100,90,100,80,80,98,10,76.67,90,100.00,100,100.00,100,55.50,0.00,D
100,80,100,70,50,100,10,90,80,66.67,100,100.00,100,62.00,0.00,D
100,70,100,80,70,100,10,90,70,100.00,100,98.00,95,60.50,0.00,D
100,?,100,70,70,98,10,80,100,80.00,92,98.00,100,66.17,0.00,D
100,100,100,80,80,98,10,76.67,100,100.00,100,98.00,100,55.50,0.00,D
100,100,100,70,50,100,10,90,95,66.67,100,98.00,100,62.00,0.00,D
100,100,100,80,70,100,10,90,100,100.00,100,98.00,95,60.50,0.00,D
100,?,100,70,70,98,10,80,100,80.00,92,100.00,100,66.17,0.00,D
100,100,100,80,80,98,10,76.67,100,100.00,100,100.00,100,55.50,0.00,D
100,100,100,70,50,100,10,90,100,66.67,100,100.00,100,62.00,0.00,D
